Unnamed: 0,level_0,index,submission_id,need_state,sub_cluster_init,macro_pillar,created_at,open_text,l1,l2,ontology_codes,tm_needs,needs_from_ontology,needs,location_name,weights,needs list,mood_coded,where_are_you_having_your_food_drink,activities_while_consuming,created_at_grouped,level1_ontology_from_pepsi_bev_3_1,level3_ontology_from_pepsi_bev_3_1,SB_needstates,global_subcluster_number,global_subcluster_name
193,193,193,15517028,Indulge,0.0,Indulge,2021-01-04 12:08:52.782,"[""I enjoy a cup of tea and it warms me up"", ""I enjoy a cup of tea and it warms me up""]","[""warms me up"", ""enjoy a cup of tea""]","[""NOISE""]","[""I wanted something hot""]","[""NOISE""]","[""Warms me up""]","[""Warms me up""]",UK,0.1211971995332555,['Warms me up'],"[""Anxious / stressed""]",At my home,Other,12pm-3pm,"[""Hot beverages""]","[""Other black tea""]",Unwind,25,Comfort
194,194,194,15517118,Indulge,3.0,Indulge,2021-01-04 12:07:52.975,"[""My son was having a MacDonalds delivered so I decided to try this drink"", ""My son was having a MacDonalds delivered so I decided to try this drink"", ""My son was having a MacDonalds delivered so I decided to try this drink"", ""My son was having a MacDonalds delivered so I decided to try this drink""]","[""macdonalds"", ""it has really delivered"", ""must try"", ""my son""]","[""wanted to try it""]","[""Kids / family like it""]","[""To explore something new""]","[""Good to share with friends / family""]","[""To explore something new""]",UK,0.5205952950605316,['To explore something new'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Mixed fruit & vegetable smoothie""]",Explore,26,Explore
195,195,195,15517200,Indulge,4.0,Indulge,2021-01-04 12:06:29.311,"[""I wanted one""]","[""wanted one""]","[""NOISE""]","[""I had a craving""]","[""NOISE""]","[""To indulge""]","[""To indulge""]",UK,0.2926364442671855,['To indulge'],"[""Neutral / fine""]",At my home,"[""Nothing""]",12pm-3pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Treat,21,Enjoy
196,196,196,15518729,Indulge,2.0,Indulge,2021-01-04 12:38:13.256,"[""Refreshing and tasty also last drop in the bottle"", ""Refreshing and tasty also last drop in the bottle"", ""Refreshing and tasty also last drop in the bottle""]","[""To refresh"", ""last drop"", ""says that it is very tasty""]","[""it is very tasty"", ""To refresh""]","[""I like the taste"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is tasty""]","[""Is tasty"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.1211971995332555,"['To feel energised / recharged', 'Is tasty']","[""Anxious / stressed""]",At my home,"[""Listening to music""]",12pm-3pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Explore,27,Happy Boost
197,197,197,15518821,Health,1.0,Health,2021-01-04 12:42:20.089,"[""cold drink to refresh me right now"", ""cold drink to refresh me right now""]","[""cold drink"", ""in the mood for refreshment""]","[""cold drink"", ""for refreshment""]","[""I wanted something cold / refreshing"", ""To feel refreshed / hydrated""]","[""Is good for cooling down"", ""To feel energised / recharged""]","[""Is refreshing"", ""To rehydrate my body""]","[""Is good for cooling down"", ""To feel energised / recharged""]",UK,0.2365611338647362,"['Is good for cooling down', 'To feel energised / recharged']","[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Revive,14,Enhance
198,198,198,15518835,Indulge,1.0,Indulge,2021-01-04 12:38:15.465,"[""Because it tastes nice""]","[""tastes nice""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,0.3479502279618056,['Is tasty'],"[""Neutral / fine""]",At my home,"[""On my laptop / phone""]",12pm-3pm,"[""Soft drinks""]","[""Fruit smoothie""]",Treat,20,Relish
199,199,199,15519869,Fuel,3.0,Fuel,2021-01-04 18:24:44.487,"[""to give me a boost at work as it's my first day back after the new year""]","[""immunity boosting""]","[""immunity boosting""]","[""To boost energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]",UK,0.3701537085606606,['Gives me a boost / energy'],"[""Content / upbeat""]",At work,"[""Relaxing / resting""]",6pm-9pm,"[""Soft drinks""]","[""Energy drink""]",Revive,7,Perk Up
200,200,200,15520302,Indulge,2.0,Indulge,2021-01-04 13:09:48.237,"[""refreshing cold and taste lovely"", ""refreshing cold and taste lovely"", ""refreshing cold and taste lovely""]","[""Wanted something cold"", ""has taste"", ""To refresh""]","[""has taste"", ""To refresh""]","[""I like the taste"", ""I wanted something cold / refreshing"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is tasty""]","[""Is tasty"", ""Is refreshing"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.731935241156495,"['To feel energised / recharged', 'Is tasty']","[""Content / upbeat"", ""Relaxed / calm""]",At my home,"[""On my laptop / phone""]",12pm-3pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Explore,27,Happy Boost
201,201,201,15520722,Hydrate,3.0,Hydrate,2021-01-04 13:15:22.211,"[""really wanted a sweet cold coke""]","[""really wanted a sweet cold coke""]","[""NOISE""]","[""I wanted something cold / refreshing""]","[""NOISE""]","[""Is refreshing""]","[""Is refreshing""]",UK,0.1283744516713963,['Is refreshing'],"[""Loved / tender""]",At my home,"[""Talking / chatting""]",12pm-3pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Soothe,16,Revive
202,202,202,15521518,Health,4.0,Health,2021-01-04 13:26:30.120,"[""To warm me up""]","[""got a little hot""]","[""wanted something to warm me up""]","[""I wanted something hot""]","[""Prevents illness / strengthens immunity""]","[""Warms me up""]","[""Prevents illness / strengthens immunity""]",UK,1.0847642952325316,['Prevents illness / strengthens immunity'],"[""Content / upbeat""]",At my home,"[""Working""]",12pm-3pm,"[""Hot beverages""]","[""White tea""]",Keeps health balanced,30,Functional Health
203,203,203,15523278,Fuel,5.0,Fuel,2021-01-04 13:58:10.776,"[""last bit left in the bottle so thought i would just it up"", ""last bit left in the bottle so thought i would just it up""]","[""thought i would just it up"", ""when i saw the cold bottle in""]","[""in a bottle""]","[""It's the only thing available""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.2267042929747989,['Is readily available'],"[""Excited"", ""Hopeful / optimistic""]",At my home,"[""Watching movies / TV""]",12pm-3pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Routine,9,Easy Fuel
204,204,204,15523618,Indulge,4.0,Indulge,2021-01-04 14:01:06.995,"[""I was feeling cold so needed a hit drink"", ""I was feeling cold so needed a hit drink""]","[""needed something for a drink"", ""feeling cold""]","[""needed a drink""]","[""I wanted something hot""]","[""To indulge""]","[""Warms me up""]","[""To indulge""]",UK,0.2574782213031681,['To indulge'],"[""Relaxed / calm""]",At my home,"[""Talking / chatting""]",12pm-3pm,"[""Hot beverages""]","[""White tea""]",Treat,21,Enjoy
205,205,205,15527020,Fuel,3.0,Fuel,2021-01-04 15:05:35.313,"[""just got in from a walk ,needed a hot drink to warm up."", ""just got in from a walk ,needed a hot drink to warm up.""]","[""we come from a walk"", ""got a little hot""]","[""wanted something to warm me up"", ""during/after a walk""]","[""I wanted something hot""]","[""Prevents illness / strengthens immunity"", ""Gives me a boost / energy""]","[""Warms me up""]","[""Prevents illness / strengthens immunity"", ""Gives me a boost / energy""]",UK,0.2838078002838116,"['Prevents illness / strengthens immunity', 'Gives me a boost / energy']","[""Bored""]",At my home,"[""On my laptop / phone""]",3pm-6pm,"[""Hot beverages""]","[""White tea""]",Revive,7,Perk Up
206,206,206,15531743,Indulge,1.0,Indulge,2021-01-04 16:37:47.409,"[""Just wanted a drink""]","[""really like this drink""]","[""really like this drink""]","[""I had a craving""]","[""Is tasty""]","[""To indulge""]","[""Is tasty""]",UK,0.447984116362599,['Is tasty'],"[""Neutral / fine""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Soft drinks""]","[""Flavoured still water""]",Treat,20,Relish
207,207,207,15531894,Health,3.0,Health,2021-01-04 16:44:59.796,"[""I wanted something cold refreshing but healthy"", ""I wanted something cold refreshing but healthy"", ""I wanted something cold refreshing but healthy""]","[""Wanted something cold"", ""To refresh"", ""trying to eat healthy""]","[""To refresh"", ""trying to eat healthy""]","[""I wanted something cold / refreshing"", ""It's a healthy choice"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]","[""Is refreshing"", ""Is nutritious / healthy"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]",UK,0.1891645597117417,"['To feel energised / recharged', 'Is nutritious / healthy']","[""Anxious / stressed"", ""Scared / paranoid""]",At my home,"[""Browsing social media / internet""]",3pm-6pm,"[""Soft drinks""]","[""Other juice""]",Revive,9,Easy Fuel
208,208,208,15534708,Fuel,2.0,Fuel,2021-01-04 18:02:29.677,"[""I regularly used to doing latte"", ""I regularly used to doing latte""]","[""i'm used to"", ""love the latte""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1211971995332555,"[""It's my habit / routine""]","[""Other""]",At my home,"[""Reading"", ""Browsing social media / internet""]",6pm-9pm,"[""Hot beverages""]","[""Latte / cafe au lait""]",Routine,8,Daily Enabler
209,209,209,15535474,Fuel,2.0,Fuel,2021-01-04 18:23:53.869,"[""I like to sip a drink throughout the evening as I\u2019m working/watching tv"", ""I like to sip a drink throughout the evening as I\u2019m working/watching tv""]","[""working/watching tv"", ""want something to sip""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1214331318319758,"[""It's my habit / routine""]","[""Anxious / stressed"", ""Neutral / fine""]",At my home,"[""Watching movies / TV""]",6pm-9pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Routine,8,Daily Enabler
210,210,210,15535829,Hydrate,4.0,Health,2021-01-04 18:39:23.562,"[""I like it. I can\u2019t bear plain water so have to add cordial. I try to stay hydrated after a tough day."", ""I like it. I can\u2019t bear plain water so have to add cordial. I try to stay hydrated after a tough day."", ""I like it. I can\u2019t bear plain water so have to add cordial. I try to stay hydrated after a tough day.""]","[""can't drink plain milk"", ""i have it here"", ""just a cordial""]","[""NOISE""]","[""I like the taste"", ""To feel refreshed / hydrated""]","[""NOISE""]","[""Is tasty"", ""To rehydrate my body""]","[""Is tasty"", ""To rehydrate my body""]",UK,0.2543561780045744,"['Is tasty', 'To rehydrate my body']","[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",6pm-9pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Healthy Hydration Levels,11,Hydrate
211,211,211,15536460,Hydrate,1.0,Hydrate,2021-01-04 18:58:46.348,"[""just feeling thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,1.6234881754194888,['To quench my thirst'],"[""Great / amazing""]",At my home,"[""Talking / chatting""]",6pm-9pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Refresh,17,Thirst Quench
212,212,212,15540534,Indulge,1.0,Indulge,2021-01-04 21:13:45.872,"[""the natural fruit taste and benefits"", ""the natural fruit taste and benefits"", ""the natural fruit taste and benefits""]","[""has taste"", ""like to drink natural coffee"", ""for health benefits""]","[""has taste"", ""natural drink""]","[""I like the taste"", ""It's a healthy choice""]","[""Is tasty"", ""Made from natural ingredients""]","[""Is tasty"", ""Is nutritious / healthy""]","[""Is tasty"", ""Made from natural ingredients""]",UK,0.5844716963248447,"['Is tasty', 'Made from natural ingredients']","[""Anxious / stressed""]",At my home,"[""On my laptop / phone"", ""Reading"", ""Spending time with family"", ""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Treat,20,Relish
213,213,213,15541034,Health,5.0,Health,2021-01-04 21:32:59.396,"[""I don\u2019t drink alcohol on Mondays"", ""I don\u2019t drink alcohol on Mondays""]","[""but not alcohol"", ""mondays""]","[""low/no alcohol""]","[""It's my habit / routine""]","[""Is nutritious / healthy""]","[""It's my habit / routine""]","[""Is nutritious / healthy""]",UK,0.4700703075040202,['Is nutritious / healthy'],"[""Annoyed / frustrated""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Supplements my Nutrition,12,Nutrition Rich
214,214,214,15541059,Indulge,2.0,Indulge,2021-01-04 21:48:24.480,"[""it's cool and refreshing, low calorie and I like the taste"", ""it's cool and refreshing, low calorie and I like the taste"", ""it's cool and refreshing, low calorie and I like the taste"", ""it's cool and refreshing, low calorie and I like the taste""]","[""has taste"", ""To refresh"", ""low calorie"", ""cool""]","[""has taste"", ""low in calories"", ""To refresh"", ""cool""]","[""I like the taste"", ""To feel refreshed / hydrated""]","[""Is good for cooling down"", ""To feel energised / recharged"", ""Low in (/zero) calories"", ""Is tasty""]","[""Is tasty"", ""To rehydrate my body""]","[""Is good for cooling down"", ""To feel energised / recharged"", ""Low in (/zero) calories"", ""Is tasty""]",UK,2.4239439906651112,"['Is good for cooling down', 'To feel energised / recharged', 'Low in (/zero) calories', 'Is tasty']","[""Anxious / stressed""]",At my home,"[""Talking / chatting"", ""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Unwind,25,Comfort
215,215,215,15541535,Fuel,3.0,Fuel,2021-01-04 21:52:10.583,"[""fancied an energy boost""]","[""energy boost""]","[""energy boost""]","[""To boost energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]",UK,0.6322114965215371,['Gives me a boost / energy'],"[""Great / amazing""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Energy drink""]",Revive,7,Perk Up
216,216,216,15542367,Health,5.0,Health,2021-01-04 22:35:34.293,"[""I am preparing for bed and this tea is supposed to be relaxing and promote better sleep"", ""I am preparing for bed and this tea is supposed to be relaxing and promote better sleep"", ""I am preparing for bed and this tea is supposed to be relaxing and promote better sleep"", ""I am preparing for bed and this tea is supposed to be relaxing and promote better sleep""]","[""promoting better sleep"", ""tea is"", ""i like to relax in front of"", ""preparing for bed""]","[""tea""]","[""To relax / relieve stress / anxiety""]","[""Is nutritious / healthy""]","[""To relax & unwind""]","[""Is nutritious / healthy""]",UK,2.354817772543465,['Is nutritious / healthy'],"[""Annoyed / frustrated"", ""Helpless / hopeless""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Hot beverages""]",,Supplements my Nutrition,12,Nutrition Rich
217,217,217,15543390,Connection,3.0,Connection,2021-01-04 23:02:03.394,"[""My favourite g""]","[""i chose this drink because it is one of my favorite drinks""]","[""because it is one of my favorite drinks""]","[""I like the taste""]","[""To reward myself""]","[""Is tasty""]","[""To reward myself""]",UK,2.3417928697565915,['To reward myself'],"[""Other""]",At my home,"[""Spending time with family"", ""Reading""]",9pm-12am,"[""Dairy / plant-based beverages""]","[""Milkshake""]",Ease the mood,1,Reward
218,218,218,15544411,Indulge,4.0,Indulge,2021-01-05 19:29:07 +0000,"[""I just fancied a beer""]","[""wanted to drink beer""]","[""wanted a beer""]","[""I like the taste""]","[""To indulge""]","[""Is tasty""]","[""To indulge""]",UK,1.7681347278673558,['To indulge'],"[""Content / upbeat""]",At my home,"[""Studying""]",6pm-9pm,"[""Beer""]",,Treat,21,Enjoy
219,219,219,15544911,Indulge,5.0,Health,2021-01-04 23:47:50 +0000,"[""I wanted to have something to relax while watching tv"", ""I wanted to have something to relax while watching tv""]","[""i like to relax in front of"", ""watching youtube""]","[""watching tv""]","[""To relax / relieve stress / anxiety""]","[""To nurture my well-being""]","[""To relax & unwind""]","[""To nurture my well-being""]",UK,0.3208422639369911,['To nurture my well-being'],"[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Wine""]","[""Syrah / Shiraz""]",Keeps health balanced,30,Functional Health
220,220,220,15550032,Hydrate,1.0,Hydrate,2021-01-05 02:00:14.219,"[""I am just thirsty and I keep it at the side of my bed for when I get up"", ""I am just thirsty and I keep it at the side of my bed for when I get up""]","[""i was really thirsty"", ""keep it at the side of my bed""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,2.4239439906651112,['To quench my thirst'],"[""Tired / exhausted""]",At my home,"[""Relaxing / resting""]",12am-3am,"[""Soft drinks""]","[""Flavoured still water""]",Refresh,17,Thirst Quench
221,221,221,15555053,Indulge,4.0,Indulge,2021-01-05 03:36:20.507,"[""i needed a drink""]","[""needed something for a drink""]","[""needed a drink""]","[""I had a craving""]","[""To indulge""]","[""To indulge""]","[""To indulge""]",UK,0.146035321019103,['To indulge'],"[""Annoyed / frustrated""]",At my home,"[""Spending time with family"", ""Doing housework / chores""]",3am-6am,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Treat,21,Enjoy
222,222,222,15563619,Fuel,2.0,Fuel,2021-01-05 06:27:02.701,"[""I always drink coffee in the mornings."", ""I always drink coffee in the mornings.""]","[""usually take coffee"", ""always drink""]","[""always drink""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.242072260249879,"[""It's my habit / routine""]","[""Content / upbeat"", ""Sad / depressed""]",At my home,Other,6am-9am,"[""Hot beverages""]",,Routine,8,Daily Enabler
223,223,223,15574963,Health,0.0,Health,2021-01-05 09:08:17.137,"[""i was going on a trip""]","[""going on a trip""]","[""NOISE""]","[""Convenient / easy to prepare""]","[""NOISE""]","[""Quick to prepare / drink""]","[""Quick to prepare / drink""]",UK,0.2308261178828941,['Quick to prepare / drink'],"[""Anxious / stressed""]",At my home,"[""Listening to a podcast / radio""]",9am-12pm,Dairy / plant-based beverages,,Keeps health balanced,37,Sure & Easy
224,224,224,15585161,Hydrate,4.0,Health,2021-01-05 13:08:00.902,"[""to help re hydrate myself"", ""to help re hydrate myself""]","[""rehydrated"", ""great help""]","[""NOISE""]","[""To feel refreshed / hydrated""]","[""NOISE""]","[""To rehydrate my body""]","[""To rehydrate my body""]",UK,1.006728558328774,['To rehydrate my body'],"[""Neutral / fine""]",At my home,"[""Browsing social media / internet""]",12pm-3pm,"[""Soft drinks""]","[""Carbonated juice drink""]",Healthy Hydration Levels,11,Hydrate
225,225,225,15593126,Fuel,3.0,Fuel,2021-01-05 15:25:50.544,"[""to give myself an energy boost""]","[""energy boost""]","[""energy boost""]","[""To boost energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy""]",UK,0.1211971995332555,['Gives me a boost / energy'],"[""Anxious / stressed"", ""Overwhelmed""]",At work,"[""Checking emails""]",3pm-6pm,"[""Hot beverages""]","[""Hot coffee (unspecified)""]",Revive,7,Perk Up
226,226,226,15595467,Indulge,1.0,Indulge,2021-01-05 16:13:11.822,"[""I love water""]","[""love water""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,2.0902936470244646,['Is tasty'],"[""Angry""]",At my home,"[""Relaxing / resting""]",3pm-6pm,"[""Soft drinks""]","[""Tap water""]",Treat,20,Relish
227,227,227,15597442,Fuel,1.0,Fuel,2021-01-05 18:08:57.260,"[""I choose this drink because I wanted something to give me some energy and Pepsi does that because it has caffeine in it"", ""I choose this drink because I wanted something to give me some energy and Pepsi does that because it has caffeine in it"", ""I choose this drink because I wanted something to give me some energy and Pepsi does that because it has caffeine in it""]","[""really like drinking pepsi"", ""did something with caffeine"", ""bought energy""]","[""to give me energy"", ""caffeine related""]","[""To boost energy""]","[""Has caffeine"", ""Gives me a boost / energy""]","[""Gives me a boost / energy""]","[""Has caffeine"", ""Gives me a boost / energy""]",UK,0.1211971995332555,"['Has caffeine', 'Gives me a boost / energy']","[""Relaxed / calm""]",At my home,"[""Relaxing / resting""]",6pm-9pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Revive,7,Perk Up
228,228,228,15597901,Hydrate,4.0,Health,2021-01-05 17:17:05.159,"[""a refreshing drink before I start cooking my dinner"", ""a refreshing drink before I start cooking my dinner""]","[""refreshing drink"", ""having it whilst tea is cooking""]","[""NOISE""]","[""To feel refreshed / hydrated""]","[""NOISE""]","[""To rehydrate my body""]","[""To rehydrate my body""]",UK,0.3431376164832946,['To rehydrate my body'],"[""Content / upbeat""]",At my home,"[""Listening to a podcast / radio""]",3pm-6pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Healthy Hydration Levels,11,Hydrate
229,229,229,15598022,Indulge,1.0,Indulge,2021-01-05 18:01:12.970,"[""I wanted something refreshing""]","[""chose it because it is refreshing""]","[""wanted something sweet and refreshing""]","[""To feel refreshed / hydrated""]","[""Is tasty""]","[""To rehydrate my body""]","[""Is tasty""]",UK,0.3609442741091413,['Is tasty'],"[""Relaxed / calm""]",At my home,"[""Watching movies / TV""]",6pm-9pm,"[""Soft drinks""]","[""Flavoured still water""]",Treat,20,Relish
230,230,230,15598319,Health,1.0,Health,2021-01-05 17:23:43 +0000,"[""To accompany my meal. Its refreshing"", ""To accompany my meal. Its refreshing""]","[""To refresh"", ""to accompany lunch""]","[""To refresh""]","[""I wanted something cold / refreshing"", ""To go with other food / drink""]","[""To feel energised / recharged""]","[""Is refreshing"", ""Completes my meal""]","[""To feel energised / recharged""]",UK,1.5079195420689455,['To feel energised / recharged'],"[""Anxious / stressed"", ""Lonely""]",At my home,Other,3pm-6pm,"[""Beer""]",,Revive,14,Enhance
231,231,231,15601673,Fuel,5.0,Fuel,2021-01-05 19:04:21 +0000,"[""it needed finishing""]","[""needed finishing""]","[""NOISE""]","[""I needed to use up ingredients""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.7078962718530538,['Is readily available'],"[""Sad / depressed""]",At my home,"[""Watching movies / TV""]",6pm-9pm,"[""Wine""]","[""Prosecco""]",Routine,9,Easy Fuel
232,232,232,15602837,Indulge,2.0,Indulge,2021-01-05 19:36:36 +0000,"[""It\u2019s a nice refreshing drink"", ""It\u2019s a nice refreshing drink""]","[""To refresh"", ""nice""]","[""To refresh"", ""nice""]","[""I wanted something cold / refreshing""]","[""To feel energised / recharged"", ""Is tasty""]","[""Is refreshing""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.9884522545716424,"['To feel energised / recharged', 'Is tasty']","[""Active / energetic""]",At my home,"[""Browsing social media / internet""]",6pm-9pm,"[""Beer""]",,Explore,27,Happy Boost
233,233,233,15604344,Hydrate,1.0,Hydrate,2021-01-05 21:13:35.887,"[""I was thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1211971995332555,['To quench my thirst'],"[""Annoyed / frustrated"", ""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",9pm-12am,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Refresh,17,Thirst Quench
234,234,234,15614445,Hydrate,1.0,Hydrate,2021-01-06 01:53:25.809,"[""I was thirsty""]","[""i was really thirsty""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.1241489226199841,['To quench my thirst'],"[""Tired / exhausted""]",At my home,"[""Cooking"", ""Spending time with family"", ""Doing housework / chores""]",12am-3am,"[""Soft drinks""]","[""Carbonated juice drink""]",Refresh,17,Thirst Quench
235,235,235,15655588,Connection,0.0,Connection,2021-01-06 20:12:51 +0000,"[""to having some time on my own""]","[""just on its own""]","[""NOISE""]","[""To boost mood / feel good""]","[""NOISE""]","[""To feel good about myself""]","[""To feel good about myself""]",UK,0.1230804340359497,['To feel good about myself'],"[""Tired / exhausted""]",At my home,"[""Listening to a podcast / radio""]",6pm-9pm,"[""Beer""]",,Ease the mood,1,Reward
236,236,236,15700344,Fuel,5.0,Fuel,2021-01-07 16:27:05 +0000,"[""It was left over from Christmas and I just fancied it"", ""It was left over from Christmas and I just fancied it""]","[""left over from previous night"", ""what i fancied having at this time""]","[""NOISE""]","[""It's the only thing available""]","[""NOISE""]","[""Is readily available""]","[""Is readily available""]",UK,0.2872909893887103,['Is readily available'],"[""Sad / depressed""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Beer""]","[""Stout / Porter""]",Routine,9,Easy Fuel
237,237,237,15703814,Fuel,5.0,Fuel,2021-01-07 17:57:37 +0000,"[""it is an after dinner cold drink that I had in the fridge"", ""it is an after dinner cold drink that I had in the fridge""]","[""cold drink"", ""all i got cold in the fridge""]","[""all i got in the fridge"", ""cold drink""]","[""I wanted something cold / refreshing""]","[""Is good for cooling down"", ""Is readily available""]","[""Is refreshing""]","[""Is good for cooling down"", ""Is readily available""]",UK,2.343551837271783,"['Is good for cooling down', 'Is readily available']","[""Content / upbeat"", ""Great / amazing""]",At my home,"[""Watching movies / TV""]",3pm-6pm,"[""Cider / Perry""]",,Routine,9,Easy Fuel
238,238,238,15717921,Fuel,2.0,Fuel,2021-01-08 19:55:24.595,"[""Every afternoon I tend to drink a cup of coffee""]","[""usually take coffee""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.3022267495275603,"[""It's my habit / routine""]","[""Neutral / fine""]",At my home,"[""Spending time with family"", ""On my laptop / phone""]",6pm-9pm,"[""Hot beverages""]",,Routine,8,Daily Enabler
239,239,239,15718189,Indulge,4.0,Indulge,2021-01-08 01:19:44.784,"[""it is what I wanted""]","[""wanted to have something""]","[""NOISE""]","[""I had a craving""]","[""NOISE""]","[""To indulge""]","[""To indulge""]",UK,0.1216471068447337,['To indulge'],"[""Anxious / stressed"", ""Scared / paranoid""]",At my home,"[""Nothing""]",12am-3am,"[""Soft drinks""]","[""Other juice""]",Treat,21,Enjoy
240,240,240,15718214,Hydrate,1.0,Hydrate,2021-01-08 01:21:59.754,"[""because i was thirsty and its the first thing that came to mind to drink"", ""because i was thirsty and its the first thing that came to mind to drink""]","[""i was really thirsty"", ""so nescafe came to my mind first""]","[""i was really thirsty""]","[""I had a craving""]","[""To quench my thirst""]","[""To indulge""]","[""To quench my thirst""]",UK,0.5355666510135612,['To quench my thirst'],"[""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",12am-3am,"[""Soft drinks""]","[""Unflavoured still water""]",Refresh,17,Thirst Quench
241,241,241,15718301,Health,5.0,Health,2021-01-08 01:36:38.066,"[""I like a juice on a night for bed"", ""I like a juice on a night for bed""]","[""wanted grant juice"", ""before you go to bed""]","[""wanted juice"", ""before you go to bed""]","[""It's my habit / routine""]","[""Is nutritious / healthy"", ""It's my habit / routine""]","[""It's my habit / routine""]","[""Is nutritious / healthy"", ""It's my habit / routine""]",UK,0.1211971995332555,"['Is nutritious / healthy', ""It's my habit / routine""]","[""Excited""]",At my home,Other,12am-3am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Keeps health balanced,37,Sure & Easy
242,242,242,15718333,Indulge,6.0,Indulge,2021-01-08 19:02:46.327,"[""I've just had my evening meal and it's time to sit and relax with a brew!"", ""I've just had my evening meal and it's time to sit and relax with a brew!""]","[""after midday meal"", ""time to sit and relax with a brew!""]","[""NOISE""]","[""To relax / relieve stress / anxiety""]","[""NOISE""]","[""To relax & unwind""]","[""To relax & unwind""]",UK,0.5448375873225475,['To relax & unwind'],"[""Sad / depressed""]",At my home,"[""On my laptop / phone""]",6pm-9pm,"[""Hot beverages""]","[""Hot coffee (unspecified)""]",Unwind,25,Comfort
